"Status","Year","Age","Disability","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Declared disabled","London","5","5","[c]","[c]"
"In post","2023","16-19","Declared disabled","Outside London","45","45","22090","21860"
"In post","2023","16-19","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","London","50","50","26500","26130"
"In post","2023","16-19","Declared non-disabled","Outside London","580","570","23480","22520"
"In post","2023","16-19","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Outside London","15","15","[c]","[c]"
"In post","2023","16-19","Unknown","London","70","65","27600","26770"
"In post","2023","16-19","Unknown","Outside London","635","610","22600","22400"
"In post","2023","16-19","Unknown","Unknown","35","35","20430","17650"
"In post","2023","20-29","Declared disabled","London","1775","1760","37670","34820"
"In post","2023","20-29","Declared disabled","Outside London","4745","4650","28600","28120"
"In post","2023","20-29","Declared disabled","Overseas","25","25","[c]","[c]"
"In post","2023","20-29","Declared disabled","Unknown","10","10","[c]","[c]"
"In post","2023","20-29","Declared non-disabled","London","11240","11175","39330","36000"
"In post","2023","20-29","Declared non-disabled","Outside London","34490","33910","28960","28120"
"In post","2023","20-29","Declared non-disabled","Overseas","195","195","36730","33540"
"In post","2023","20-29","Declared non-disabled","Unknown","85","85","31140","28120"
"In post","2023","20-29","Undeclared","London","755","750","39260","35740"
"In post","2023","20-29","Undeclared","Outside London","1590","1560","29170","28120"
"In post","2023","20-29","Undeclared","Overseas","10","10","[c]","[c]"
"In post","2023","20-29","Undeclared","Unknown","5","5","[c]","[c]"
"In post","2023","20-29","Unknown","London","8930","8880","37350","34850"
"In post","2023","20-29","Unknown","Outside London","20730","20385","27940","26370"
"In post","2023","20-29","Unknown","Overseas","110","110","43420","40550"
"In post","2023","20-29","Unknown","Unknown","440","440","31760","31710"
"In post","2023","30-39","Declared disabled","London","2015","1955","46010","42550"
"In post","2023","30-39","Declared disabled","Outside London","8265","7830","32450","29100"
"In post","2023","30-39","Declared disabled","Overseas","50","50","47940","44770"
"In post","2023","30-39","Declared disabled","Unknown","30","25","[c]","[c]"
"In post","2023","30-39","Declared non-disabled","London","15450","15005","48560","45750"
"In post","2023","30-39","Declared non-disabled","Outside London","55945","53030","34000","31510"
"In post","2023","30-39","Declared non-disabled","Overseas","500","500","47070","43580"
"In post","2023","30-39","Declared non-disabled","Unknown","110","105","33190","28120"
"In post","2023","30-39","Undeclared","London","1265","1235","47880","45560"
"In post","2023","30-39","Undeclared","Outside London","3830","3645","33760","31280"
"In post","2023","30-39","Undeclared","Overseas","35","35","49270","49960"
"In post","2023","30-39","Undeclared","Unknown","5","5","[c]","[c]"
"In post","2023","30-39","Unknown","London","6470","6345","47180","43650"
"In post","2023","30-39","Unknown","Outside London","21490","20555","32950","29450"
"In post","2023","30-39","Unknown","Overseas","445","445","53650","54000"
"In post","2023","30-39","Unknown","Unknown","425","425","41190","40690"
"In post","2023","40-49","Declared disabled","London","2265","2155","46960","41540"
"In post","2023","40-49","Declared disabled","Outside London","11325","10475","33420","28480"
"In post","2023","40-49","Declared disabled","Overseas","60","60","51780","52630"
"In post","2023","40-49","Declared disabled","Unknown","15","15","[c]","[c]"
"In post","2023","40-49","Declared non-disabled","London","14830","14070","51110","45960"
"In post","2023","40-49","Declared non-disabled","Outside London","61785","57920","36560","32310"
"In post","2023","40-49","Declared non-disabled","Overseas","585","580","55800","56040"
"In post","2023","40-49","Declared non-disabled","Unknown","150","150","38480","29750"
"In post","2023","40-49","Undeclared","London","1405","1355","49750","45270"
"In post","2023","40-49","Undeclared","Outside London","5290","5000","35790","32920"
"In post","2023","40-49","Undeclared","Overseas","40","40","55880","55070"
"In post","2023","40-49","Undeclared","Unknown","15","15","[c]","[c]"
"In post","2023","40-49","Unknown","London","3965","3800","51370","46640"
"In post","2023","40-49","Unknown","Outside London","15905","15075","35880","31510"
"In post","2023","40-49","Unknown","Overseas","375","375","60500","59390"
"In post","2023","40-49","Unknown","Unknown","365","360","45190","41580"
"In post","2023","50-59","Declared disabled","London","3110","2975","43640","37500"
"In post","2023","50-59","Declared disabled","Outside London","17770","16375","32520","28120"
"In post","2023","50-59","Declared disabled","Overseas","45","45","53470","51080"
"In post","2023","50-59","Declared disabled","Unknown","50","45","35790","31150"
"In post","2023","50-59","Declared non-disabled","London","15705","15155","47150","40900"
"In post","2023","50-59","Declared non-disabled","Outside London","75040","70380","35600","30430"
"In post","2023","50-59","Declared non-disabled","Overseas","540","535","55770","52110"
"In post","2023","50-59","Declared non-disabled","Unknown","165","160","37230","34170"
"In post","2023","50-59","Undeclared","London","1730","1680","46910","39880"
"In post","2023","50-59","Undeclared","Outside London","7875","7420","35010","32920"
"In post","2023","50-59","Undeclared","Overseas","45","45","60250","57720"
"In post","2023","50-59","Undeclared","Unknown","15","15","[c]","[c]"
"In post","2023","50-59","Unknown","London","3260","3155","48960","41950"
"In post","2023","50-59","Unknown","Outside London","15485","14565","35370","30170"
"In post","2023","50-59","Unknown","Overseas","260","260","60310","59360"
"In post","2023","50-59","Unknown","Unknown","500","495","46490","42900"
"In post","2023","60-64","Declared disabled","London","1000","895","39060","32520"
"In post","2023","60-64","Declared disabled","Outside London","5950","4785","30160","28120"
"In post","2023","60-64","Declared disabled","Overseas","5","5","[c]","[c]"
"In post","2023","60-64","Declared disabled","Unknown","10","10","[c]","[c]"
"In post","2023","60-64","Declared non-disabled","London","4400","3900","42440","35410"
"In post","2023","60-64","Declared non-disabled","Outside London","23175","18965","32220","28120"
"In post","2023","60-64","Declared non-disabled","Overseas","110","110","61730","52460"
"In post","2023","60-64","Declared non-disabled","Unknown","45","40","40620","37710"
"In post","2023","60-64","Undeclared","London","515","455","43330","36000"
"In post","2023","60-64","Undeclared","Outside London","2485","2025","32220","28480"
"In post","2023","60-64","Undeclared","Overseas","10","10","[c]","[c]"
"In post","2023","60-64","Undeclared","Unknown","5","5","[c]","[c]"
"In post","2023","60-64","Unknown","London","785","715","46350","39790"
"In post","2023","60-64","Unknown","Outside London","4295","3590","32330","28120"
"In post","2023","60-64","Unknown","Overseas","30","30","60530","61300"
"In post","2023","60-64","Unknown","Unknown","155","155","45550","41510"
"In post","2023","65+","Declared disabled","London","415","340","36090","32520"
"In post","2023","65+","Declared disabled","Outside London","1795","1325","29010","27470"
"In post","2023","65+","Declared disabled","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","65+","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","65+","Declared non-disabled","London","1780","1470","38200","32250"
"In post","2023","65+","Declared non-disabled","Outside London","7170","5420","30750","27890"
"In post","2023","65+","Declared non-disabled","Overseas","20","20","[c]","[c]"
"In post","2023","65+","Declared non-disabled","Unknown","25","20","[c]","[c]"
"In post","2023","65+","Undeclared","London","210","175","40300","32520"
"In post","2023","65+","Undeclared","Outside London","750","565","31830","27920"
"In post","2023","65+","Undeclared","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","65+","Unknown","London","320","265","45620","35780"
"In post","2023","65+","Unknown","Outside London","1330","1015","31700","27260"
"In post","2023","65+","Unknown","Overseas","10","10","[c]","[c]"
"In post","2023","65+","Unknown","Unknown","30","30","49630","40380"
"In post","2023","Unknown","Declared disabled","London","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Declared disabled","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Declared disabled","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Declared non-disabled","London","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Declared non-disabled","Outside London","15","10","[c]","[c]"
"In post","2023","Unknown","Declared non-disabled","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Unknown","London","10","10","[c]","[c]"
"In post","2023","Unknown","Unknown","Outside London","5","5","[c]","[c]"
"In post","2023","Unknown","Unknown","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Declared disabled","London","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Declared disabled","Outside London","10","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Declared non-disabled","London","5","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Declared non-disabled","Outside London","55","[c]","21420","21780"
"Leaver CS","2023","16-19","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Unknown","London","15","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Unknown","Outside London","80","[c]","21240","21780"
"Leaver CS","2023","16-19","Unknown","Unknown","10","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Declared disabled","London","210","[c]","32750","32330"
"Leaver CS","2023","20-29","Declared disabled","Outside London","550","[c]","25650","24250"
"Leaver CS","2023","20-29","Declared disabled","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Declared non-disabled","London","1685","[c]","34200","32520"
"Leaver CS","2023","20-29","Declared non-disabled","Outside London","4300","[c]","26300","25010"
"Leaver CS","2023","20-29","Declared non-disabled","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Declared non-disabled","Unknown","15","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Undeclared","London","135","[c]","34370","32520"
"Leaver CS","2023","20-29","Undeclared","Outside London","215","[c]","25420","23470"
"Leaver CS","2023","20-29","Unknown","London","1390","[c]","32430","29890"
"Leaver CS","2023","20-29","Unknown","Outside London","2835","[c]","25830","23320"
"Leaver CS","2023","20-29","Unknown","Overseas","5","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Unknown","Unknown","90","[c]","27480","28910"
"Leaver CS","2023","30-39","Declared disabled","London","185","[c]","45850","42960"
"Leaver CS","2023","30-39","Declared disabled","Outside London","540","[c]","29280","27570"
"Leaver CS","2023","30-39","Declared disabled","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Declared non-disabled","London","1520","[c]","45440","42860"
"Leaver CS","2023","30-39","Declared non-disabled","Outside London","3670","[c]","32200","28120"
"Leaver CS","2023","30-39","Declared non-disabled","Overseas","5","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Declared non-disabled","Unknown","10","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Undeclared","London","125","[c]","44010","40260"
"Leaver CS","2023","30-39","Undeclared","Outside London","285","[c]","31910","28120"
"Leaver CS","2023","30-39","Unknown","London","815","[c]","45990","42890"
"Leaver CS","2023","30-39","Unknown","Outside London","1945","[c]","33590","29450"
"Leaver CS","2023","30-39","Unknown","Overseas","25","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Unknown","Unknown","65","[c]","36710","34170"
"Leaver CS","2023","40-49","Declared disabled","London","140","[c]","48210","40570"
"Leaver CS","2023","40-49","Declared disabled","Outside London","560","[c]","31790","27570"
"Leaver CS","2023","40-49","Declared disabled","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2023","40-49","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","40-49","Declared non-disabled","London","915","[c]","52280","51730"
"Leaver CS","2023","40-49","Declared non-disabled","Outside London","2830","[c]","34160","28120"
"Leaver CS","2023","40-49","Declared non-disabled","Overseas","5","[c]","[c]","[c]"
"Leaver CS","2023","40-49","Declared non-disabled","Unknown","10","[c]","[c]","[c]"
"Leaver CS","2023","40-49","Undeclared","London","85","[c]","51850","52610"
"Leaver CS","2023","40-49","Undeclared","Outside London","240","[c]","34860","29880"
"Leaver CS","2023","40-49","Unknown","London","445","[c]","54980","53810"
"Leaver CS","2023","40-49","Unknown","Outside London","1210","[c]","36930","31060"
"Leaver CS","2023","40-49","Unknown","Overseas","35","[c]","[c]","[c]"
"Leaver CS","2023","40-49","Unknown","Unknown","30","[c]","[c]","[c]"
"Leaver CS","2023","50-59","Declared disabled","London","165","[c]","45480","37450"
"Leaver CS","2023","50-59","Declared disabled","Outside London","995","[c]","31710","28120"
"Leaver CS","2023","50-59","Declared disabled","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2023","50-59","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","50-59","Declared non-disabled","London","705","[c]","50550","42170"
"Leaver CS","2023","50-59","Declared non-disabled","Outside London","3960","[c]","34440","28120"
"Leaver CS","2023","50-59","Declared non-disabled","Overseas","15","[c]","[c]","[c]"
"Leaver CS","2023","50-59","Declared non-disabled","Unknown","20","[c]","[c]","[c]"
"Leaver CS","2023","50-59","Undeclared","London","75","[c]","53260","51690"
"Leaver CS","2023","50-59","Undeclared","Outside London","470","[c]","34360","28120"
"Leaver CS","2023","50-59","Undeclared","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2023","50-59","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","50-59","Unknown","London","365","[c]","52990","43160"
"Leaver CS","2023","50-59","Unknown","Outside London","1325","[c]","34820","28120"
"Leaver CS","2023","50-59","Unknown","Overseas","20","[c]","[c]","[c]"
"Leaver CS","2023","50-59","Unknown","Unknown","45","[c]","45330","42760"
"Leaver CS","2023","60-64","Declared disabled","London","90","[c]","44030","32940"
"Leaver CS","2023","60-64","Declared disabled","Outside London","760","[c]","31170","28120"
"Leaver CS","2023","60-64","Declared disabled","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2023","60-64","Declared disabled","Unknown","5","[c]","[c]","[c]"
"Leaver CS","2023","60-64","Declared non-disabled","London","545","[c]","48130","39330"
"Leaver CS","2023","60-64","Declared non-disabled","Outside London","3045","[c]","34240","28120"
"Leaver CS","2023","60-64","Declared non-disabled","Overseas","10","[c]","[c]","[c]"
"Leaver CS","2023","60-64","Declared non-disabled","Unknown","5","[c]","[c]","[c]"
"Leaver CS","2023","60-64","Undeclared","London","55","[c]","51500","40450"
"Leaver CS","2023","60-64","Undeclared","Outside London","350","[c]","33320","28120"
"Leaver CS","2023","60-64","Undeclared","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2023","60-64","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","60-64","Unknown","London","165","[c]","52630","51490"
"Leaver CS","2023","60-64","Unknown","Outside London","720","[c]","36630","31470"
"Leaver CS","2023","60-64","Unknown","Overseas","10","[c]","[c]","[c]"
"Leaver CS","2023","60-64","Unknown","Unknown","35","[c]","46140","38420"
"Leaver CS","2023","65+","Declared disabled","London","105","[c]","35260","30930"
"Leaver CS","2023","65+","Declared disabled","Outside London","700","[c]","27220","25950"
"Leaver CS","2023","65+","Declared disabled","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2023","65+","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","65+","Declared non-disabled","London","385","[c]","41230","31950"
"Leaver CS","2023","65+","Declared non-disabled","Outside London","2505","[c]","29920","26780"
"Leaver CS","2023","65+","Declared non-disabled","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2023","65+","Declared non-disabled","Unknown","5","[c]","[c]","[c]"
"Leaver CS","2023","65+","Undeclared","London","55","[c]","40730","36180"
"Leaver CS","2023","65+","Undeclared","Outside London","290","[c]","31050","26670"
"Leaver CS","2023","65+","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","65+","Unknown","London","80","[c]","45800","33390"
"Leaver CS","2023","65+","Unknown","Outside London","475","[c]","32570","27500"
"Leaver CS","2023","65+","Unknown","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2023","65+","Unknown","Unknown","15","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Declared disabled","London","5","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Declared disabled","Outside London","5","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Declared disabled","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Declared non-disabled","London","30","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Declared non-disabled","Outside London","25","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Declared non-disabled","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Undeclared","London","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Undeclared","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Unknown","London","30","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Unknown","Outside London","10","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Unknown","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Unknown","Unknown","45","[c]","[c]","[c]"
"Leaver Dept.","2023","16-19","Declared disabled","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","16-19","Declared disabled","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","16-19","Declared non-disabled","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","16-19","Declared non-disabled","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","16-19","Undeclared","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","16-19","Unknown","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","16-19","Unknown","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","Declared disabled","London","220","[c]","36090","34550"
"Leaver Dept.","2023","20-29","Declared disabled","Outside London","200","[c]","27310","27170"
"Leaver Dept.","2023","20-29","Declared disabled","Overseas","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","Declared non-disabled","London","1360","[c]","36410","34550"
"Leaver Dept.","2023","20-29","Declared non-disabled","Outside London","1285","[c]","27540","27570"
"Leaver Dept.","2023","20-29","Declared non-disabled","Overseas","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","Declared non-disabled","Unknown","15","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","Undeclared","London","105","[c]","37580","34310"
