"Status","Year","Age","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Attorney General's Departments","60","60","21570","20980"
"In post","2023","16-19","Cabinet Office","15","15","25130","24610"
"In post","2023","16-19","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy","25","25","23320","22310"
"In post","2023","16-19","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Education","5","5","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs","35","35","22800","22150"
"In post","2023","16-19","Department for International Trade","10","10","[c]","[c]"
"In post","2023","16-19","Department for Levelling Up, Housing and Communities","5","5","[c]","[c]"
"In post","2023","16-19","Department for Transport","95","85","21830","22500"
"In post","2023","16-19","Department for Work and Pensions","80","75","23050","21690"
"In post","2023","16-19","Department of Health and Social Care","10","10","24210","23990"
"In post","2023","16-19","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Foreign, Commonwealth and Development Office","35","35","24080","23800"
"In post","2023","16-19","HM Land Registry","10","10","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","195","190","23280","22520"
"In post","2023","16-19","HM Treasury","5","5","[c]","[c]"
"In post","2023","16-19","Home Office","135","130","23960","22400"
"In post","2023","16-19","Ministry of Defence","235","235","20180","19430"
"In post","2023","16-19","Ministry of Justice","345","335","25600","23640"
"In post","2023","16-19","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office for Standards in Education, Children's Services and Skills","5","5","[c]","[c]"
"In post","2023","16-19","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Scottish Government","75","75","23130","22920"
"In post","2023","16-19","The National Archives","[c]","[c]","[c]","[c]"
"In post","2023","16-19","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2023","16-19","UK Statistics Authority","30","30","23120","24840"
"In post","2023","16-19","Welsh Government","10","10","22670","22150"
"In post","2023","20-29","Attorney General's Departments","1725","1710","30910","27760"
"In post","2023","20-29","Cabinet Office","2980","2970","34910","31640"
"In post","2023","20-29","Chancellor's other departments","70","70","37520","33000"
"In post","2023","20-29","Charity Commission","75","75","27910","25300"
"In post","2023","20-29","Competition and Markets Authority","175","175","38520","34110"
"In post","2023","20-29","Department for Business, Energy and Industrial Strategy","3120","3105","38330","37120"
"In post","2023","20-29","Department for Digital, Culture, Media and Sport","665","665","40320","35620"
"In post","2023","20-29","Department for Education","1580","1570","37260","35480"
"In post","2023","20-29","Department for Environment, Food and Rural Affairs","2405","2380","31640","30320"
"In post","2023","20-29","Department for International Trade","1155","1150","40930","40530"
"In post","2023","20-29","Department for Levelling Up, Housing and Communities","935","925","39500","36870"
"In post","2023","20-29","Department for Transport","2255","2205","32310","29970"
"In post","2023","20-29","Department for Work and Pensions","9010","8825","28180","28120"
"In post","2023","20-29","Department of Health and Social Care","2205","2175","36190","34190"
"In post","2023","20-29","Estyn","10","10","[c]","[c]"
"In post","2023","20-29","Food Standards Agency","160","160","34680","33000"
"In post","2023","20-29","Foreign, Commonwealth and Development Office","1585","1580","37150","36020"
"In post","2023","20-29","HM Land Registry","1035","1010","27870","28080"
"In post","2023","20-29","HM Revenue and Customs","11465","11260","30140","27890"
"In post","2023","20-29","HM Treasury","935","930","38840","33820"
"In post","2023","20-29","Home Office","7785","7680","29340","25880"
"In post","2023","20-29","Ministry of Defence","7885","7840","31310","30650"
"In post","2023","20-29","Ministry of Justice","17695","17375","28770","28880"
"In post","2023","20-29","National Crime Agency","760","755","36330","36040"
"In post","2023","20-29","Northern Ireland Office","40","40","42280","40670"
"In post","2023","20-29","Office for Standards in Education, Children's Services and Skills","175","175","30430","27400"
"In post","2023","20-29","Office of Gas and Electricity Markets","380","380","32180","30950"
"In post","2023","20-29","Office of Qualifications and Examinations Regulation","55","55","31350","31310"
"In post","2023","20-29","Office of Rail and Road","35","35","35440","35000"
"In post","2023","20-29","Office of the Secretary of State for Scotland","35","35","37920","35410"
"In post","2023","20-29","Office of the Secretary of State for Wales","15","15","35670","33000"
"In post","2023","20-29","Scottish Government","4615","4545","30720","29100"
"In post","2023","20-29","The National Archives","90","90","29520","26800"
"In post","2023","20-29","UK Export Finance","125","125","40410","37150"
"In post","2023","20-29","UK Statistics Authority","1285","1255","32610","31560"
"In post","2023","20-29","UK Supreme Court","15","15","29890","26420"
"In post","2023","20-29","Water Services Regulation Authority","45","45","35740","35330"
"In post","2023","20-29","Welsh Government","555","545","29730","27890"
"In post","2023","30-39","Attorney General's Departments","2275","2165","45700","50000"
"In post","2023","30-39","Cabinet Office","2625","2575","49480","51290"
"In post","2023","30-39","Chancellor's other departments","120","120","60380","55000"
"In post","2023","30-39","Charity Commission","115","115","35120","30170"
"In post","2023","30-39","Competition and Markets Authority","310","305","61520","59910"
"In post","2023","30-39","Department for Business, Energy and Industrial Strategy","3860","3730","44370","41360"
"In post","2023","30-39","Department for Digital, Culture, Media and Sport","735","720","51750","53030"
"In post","2023","30-39","Department for Education","2380","2295","45180","42170"
"In post","2023","30-39","Department for Environment, Food and Rural Affairs","3010","2885","37600","37300"
"In post","2023","30-39","Department for International Trade","1000","985","51480","55370"
"In post","2023","30-39","Department for Levelling Up, Housing and Communities","1125","1090","48830","49700"
"In post","2023","30-39","Department for Transport","3700","3495","35450","29910"
"In post","2023","30-39","Department for Work and Pensions","14305","13240","30020","28120"
"In post","2023","30-39","Department of Health and Social Care","2690","2580","46120","41950"
"In post","2023","30-39","Estyn","15","15","36230","30610"
"In post","2023","30-39","Food Standards Agency","350","345","38790","38100"
"In post","2023","30-39","Foreign, Commonwealth and Development Office","2330","2300","48820","51500"
"In post","2023","30-39","HM Land Registry","1220","1155","30870","28080"
"In post","2023","30-39","HM Revenue and Customs","17410","16705","35380","34700"
"In post","2023","30-39","HM Treasury","820","805","53800","54130"
"In post","2023","30-39","Home Office","10285","9815","33280","27690"
"In post","2023","30-39","Ministry of Defence","10950","10600","38380","37300"
"In post","2023","30-39","Ministry of Justice","21595","20545","32330","31240"
"In post","2023","30-39","National Crime Agency","1405","1375","40560","38640"
"In post","2023","30-39","Northern Ireland Office","45","45","49270","43650"
"In post","2023","30-39","Office for Standards in Education, Children's Services and Skills","435","420","45480","41050"
"In post","2023","30-39","Office of Gas and Electricity Markets","570","565","46600","45610"
"In post","2023","30-39","Office of Qualifications and Examinations Regulation","85","85","42840","39140"
"In post","2023","30-39","Office of Rail and Road","90","90","48600","51830"
"In post","2023","30-39","Office of the Secretary of State for Scotland","45","45","54140","54870"
"In post","2023","30-39","Office of the Secretary of State for Wales","10","10","50610","51770"
"In post","2023","30-39","Scottish Government","7320","7045","37960","34730"
"In post","2023","30-39","The National Archives","125","125","36400","35330"
"In post","2023","30-39","UK Export Finance","115","115","56060","53190"
"In post","2023","30-39","UK Statistics Authority","1550","1450","38200","37760"
"In post","2023","30-39","UK Supreme Court","10","10","40410","37230"
"In post","2023","30-39","Water Services Regulation Authority","55","55","51360","48000"
"In post","2023","30-39","Welsh Government","1230","1170","40110","39690"
"In post","2023","40-49","Attorney General's Departments","2840","2610","49920","52880"
"In post","2023","40-49","Cabinet Office","2260","2200","57060","56430"
"In post","2023","40-49","Chancellor's other departments","125","115","67700","61000"
"In post","2023","40-49","Charity Commission","145","135","40520","38800"
"In post","2023","40-49","Competition and Markets Authority","225","215","76220","76720"
"In post","2023","40-49","Department for Business, Energy and Industrial Strategy","3375","3200","46260","42760"
"In post","2023","40-49","Department for Digital, Culture, Media and Sport","310","295","58030","57300"
"In post","2023","40-49","Department for Education","2240","2125","49540","51360"
"In post","2023","40-49","Department for Environment, Food and Rural Affairs","3500","3290","38980","37300"
"In post","2023","40-49","Department for International Trade","585","575","55520","55370"
"In post","2023","40-49","Department for Levelling Up, Housing and Communities","1005","955","51690","49700"
"In post","2023","40-49","Department for Transport","3945","3715","36630","31260"
"In post","2023","40-49","Department for Work and Pensions","20110","18220","30800","28120"
"In post","2023","40-49","Department of Health and Social Care","2490","2365","52360","50830"
"In post","2023","40-49","Estyn","35","35","58290","63900"
"In post","2023","40-49","Food Standards Agency","415","405","42920","38670"
"In post","2023","40-49","Foreign, Commonwealth and Development Office","2210","2150","54680","55860"
"In post","2023","40-49","HM Land Registry","1280","1195","35220","34120"
"In post","2023","40-49","HM Revenue and Customs","15955","15055","37360","34700"
"In post","2023","40-49","HM Treasury","430","410","57690","54440"
"In post","2023","40-49","Home Office","10585","9980","35370","30140"
"In post","2023","40-49","Ministry of Defence","12035","11635","40260","38790"
"In post","2023","40-49","Ministry of Justice","19770","18620","34490","32050"
"In post","2023","40-49","National Crime Agency","1345","1290","44920","42440"
"In post","2023","40-49","Northern Ireland Office","40","35","51770","51770"
"In post","2023","40-49","Office for Standards in Education, Children's Services and Skills","635","615","55360","52750"
"In post","2023","40-49","Office of Gas and Electricity Markets","365","355","52540","48170"
"In post","2023","40-49","Office of Qualifications and Examinations Regulation","125","120","51620","48060"
"In post","2023","40-49","Office of Rail and Road","125","120","59820","59230"
"In post","2023","40-49","Office of the Secretary of State for Scotland","20","20","62490","65280"
"In post","2023","40-49","Office of the Secretary of State for Wales","10","10","[c]","[c]"
"In post","2023","40-49","Scottish Government","6455","6170","43710","38330"
"In post","2023","40-49","The National Archives","150","140","40880","36940"
"In post","2023","40-49","UK Export Finance","120","115","62010","60880"
"In post","2023","40-49","UK Statistics Authority","1210","1120","40790","37760"
"In post","2023","40-49","UK Supreme Court","10","10","47100","39700"
"In post","2023","40-49","Water Services Regulation Authority","95","90","60850","58260"
"In post","2023","40-49","Welsh Government","1815","1725","46580","41700"
"In post","2023","50-59","Attorney General's Departments","3010","2825","49940","52880"
"In post","2023","50-59","Cabinet Office","1865","1815","58160","56000"
"In post","2023","50-59","Chancellor's other departments","85","80","66240","56500"
"In post","2023","50-59","Charity Commission","115","110","35410","30170"
"In post","2023","50-59","Competition and Markets Authority","160","155","69250","61810"
"In post","2023","50-59","Department for Business, Energy and Industrial Strategy","3015","2905","44440","41060"
"In post","2023","50-59","Department for Digital, Culture, Media and Sport","175","170","53580","53430"
"In post","2023","50-59","Department for Education","1850","1795","47730","45440"
"In post","2023","50-59","Department for Environment, Food and Rural Affairs","3055","2930","38350","34180"
"In post","2023","50-59","Department for International Trade","585","575","51220","46570"
"In post","2023","50-59","Department for Levelling Up, Housing and Communities","820","790","49580","48660"
"In post","2023","50-59","Department for Transport","4255","4035","34890","27970"
"In post","2023","50-59","Department for Work and Pensions","30565","27760","30420","28120"
"In post","2023","50-59","Department of Health and Social Care","2125","2040","54220","50830"
"In post","2023","50-59","Estyn","50","50","71840","78500"
"In post","2023","50-59","Food Standards Agency","470","465","38770","33000"
"In post","2023","50-59","Foreign, Commonwealth and Development Office","2050","2010","54160","52330"
"In post","2023","50-59","HM Land Registry","2410","2185","33810","31680"
"In post","2023","50-59","HM Revenue and Customs","19660","18315","37460","34700"
"In post","2023","50-59","HM Treasury","370","360","53230","51350"
"In post","2023","50-59","Home Office","10550","9935","34390","29890"
"In post","2023","50-59","Ministry of Defence","18715","18295","37730","34300"
"In post","2023","50-59","Ministry of Justice","22725","21415","33650","31240"
"In post","2023","50-59","National Crime Agency","1615","1580","45570","43240"
"In post","2023","50-59","Northern Ireland Office","35","35","43930","37680"
"In post","2023","50-59","Office for Standards in Education, Children's Services and Skills","620","605","59180","52750"
"In post","2023","50-59","Office of Gas and Electricity Markets","195","190","55380","54120"
"In post","2023","50-59","Office of Qualifications and Examinations Regulation","65","60","45930","39920"
"In post","2023","50-59","Office of Rail and Road","85","85","63410","60320"
"In post","2023","50-59","Office of the Secretary of State for Scotland","25","20","62000","65280"
"In post","2023","50-59","Office of the Secretary of State for Wales","5","5","[c]","[c]"
"In post","2023","50-59","Scottish Government","6900","6595","42760","37060"
"In post","2023","50-59","The National Archives","155","145","40770","36990"
"In post","2023","50-59","UK Export Finance","120","120","60920","54600"
"In post","2023","50-59","UK Statistics Authority","1265","1095","35490","31060"
"In post","2023","50-59","UK Supreme Court","15","15","39170","30520"
"In post","2023","50-59","Water Services Regulation Authority","55","55","69570","63670"
"In post","2023","50-59","Welsh Government","1755","1690","47700","45970"
"In post","2023","60-64","Attorney General's Departments","645","550","49530","54800"
"In post","2023","60-64","Cabinet Office","385","345","53370","42550"
"In post","2023","60-64","Chancellor's other departments","20","20","65420","54840"
"In post","2023","60-64","Charity Commission","45","40","36550","30170"
"In post","2023","60-64","Competition and Markets Authority","30","25","62550","55540"
"In post","2023","60-64","Department for Business, Energy and Industrial Strategy","770","665","39030","35570"
"In post","2023","60-64","Department for Digital, Culture, Media and Sport","45","45","53660","53030"
"In post","2023","60-64","Department for Education","335","310","47420","45330"
"In post","2023","60-64","Department for Environment, Food and Rural Affairs","795","710","35150","30320"
"In post","2023","60-64","Department for International Trade","135","130","49300","43540"
"In post","2023","60-64","Department for Levelling Up, Housing and Communities","190","170","49450","47320"
"In post","2023","60-64","Department for Transport","1550","1290","30960","27450"
"In post","2023","60-64","Department for Work and Pensions","10515","8190","28750","28120"
"In post","2023","60-64","Department of Health and Social Care","545","490","54500","46000"
"In post","2023","60-64","Estyn","10","10","67080","78500"
"In post","2023","60-64","Food Standards Agency","130","120","35310","29430"
"In post","2023","60-64","Foreign, Commonwealth and Development Office","430","405","50420","44260"
"In post","2023","60-64","HM Land Registry","605","440","33200","31680"
"In post","2023","60-64","HM Revenue and Customs","5975","4710","33750","29730"
"In post","2023","60-64","HM Treasury","115","100","49360","45750"
"In post","2023","60-64","Home Office","2795","2295","31880","27650"
"In post","2023","60-64","Ministry of Defence","6245","5765","34640","31470"
"In post","2023","60-64","Ministry of Justice","7305","6045","30740","28480"
"In post","2023","60-64","National Crime Agency","360","330","43060","42110"
"In post","2023","60-64","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Office for Standards in Education, Children's Services and Skills","135","120","58250","52750"
"In post","2023","60-64","Office of Gas and Electricity Markets","35","35","49480","47320"
"In post","2023","60-64","Office of Qualifications and Examinations Regulation","15","15","42320","39080"
"In post","2023","60-64","Office of Rail and Road","25","20","60610","60320"
"In post","2023","60-64","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Scottish Government","1745","1435","39170","37060"
"In post","2023","60-64","The National Archives","45","40","36370","35050"
"In post","2023","60-64","UK Export Finance","25","25","58990","53120"
"In post","2023","60-64","UK Statistics Authority","500","375","28030","21200"
"In post","2023","60-64","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Water Services Regulation Authority","10","5","[c]","[c]"
"In post","2023","60-64","Welsh Government","490","425","44720","39690"
"In post","2023","65+","Attorney General's Departments","185","145","47330","49050"
"In post","2023","65+","Cabinet Office","95","85","50080","35910"
"In post","2023","65+","Chancellor's other departments","5","5","[c]","[c]"
"In post","2023","65+","Charity Commission","5","5","[c]","[c]"
"In post","2023","65+","Competition and Markets Authority","10","5","[c]","[c]"
"In post","2023","65+","Department for Business, Energy and Industrial Strategy","255","205","38370","35190"
"In post","2023","65+","Department for Digital, Culture, Media and Sport","5","5","[c]","[c]"
"In post","2023","65+","Department for Education","90","80","44540","42170"
"In post","2023","65+","Department for Environment, Food and Rural Affairs","275","235","32630","26850"
"In post","2023","65+","Department for International Trade","65","60","51020","42730"
"In post","2023","65+","Department for Levelling Up, Housing and Communities","100","75","52940","54630"
"In post","2023","65+","Department for Transport","590","425","30220","27450"
"In post","2023","65+","Department for Work and Pensions","3170","2285","27680","28120"
"In post","2023","65+","Department of Health and Social Care","195","160","56260","48300"
"In post","2023","65+","Estyn","[c]","[c]","[c]","[c]"
"In post","2023","65+","Food Standards Agency","50","40","31970","29430"
"In post","2023","65+","Foreign, Commonwealth and Development Office","150","125","50650","50620"
"In post","2023","65+","HM Land Registry","150","100","33410","31680"
"In post","2023","65+","HM Revenue and Customs","1725","1240","33090","29730"
"In post","2023","65+","HM Treasury","25","20","53920","53880"
"In post","2023","65+","Home Office","990","755","29630","26400"
"In post","2023","65+","Ministry of Defence","2115","1865","33120","27770"
"In post","2023","65+","Ministry of Justice","2440","1835","29160","25480"
"In post","2023","65+","National Crime Agency","85","75","42330","40070"
"In post","2023","65+","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2023","65+","Office for Standards in Education, Children's Services and Skills","30","25","48820","41050"
"In post","2023","65+","Office of Gas and Electricity Markets","10","10","51920","46800"
"In post","2023","65+","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2023","65+","Office of Rail and Road","5","5","[c]","[c]"
"In post","2023","65+","Scottish Government","515","400","37110","31940"
"In post","2023","65+","The National Archives","25","20","32830","29840"
"In post","2023","65+","UK Export Finance","15","10","54060","52180"
"In post","2023","65+","UK Statistics Authority","290","185","25100","21200"
"In post","2023","65+","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2023","65+","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2023","65+","Welsh Government","200","155","43850","39690"
"In post","2023","Unknown","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Department for Work and Pensions","20","15","29680","28120"
"In post","2023","Unknown","Foreign, Commonwealth and Development Office","15","15","39370","34390"
"In post","2023","Unknown","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Department for Education","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Department for Environment, Food and Rural Affairs","10","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Department for Transport","20","[c]","21180","19000"
"Leaver CS","2023","16-19","Department for Work and Pensions","15","[c]","22140","21690"
"Leaver CS","2023","16-19","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","HM Revenue and Customs","15","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Home Office","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Ministry of Defence","20","[c]","19100","18780"
"Leaver CS","2023","16-19","Ministry of Justice","60","[c]","22290","21780"
"Leaver CS","2023","16-19","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Scottish Government","10","[c]","22380","22180"
"Leaver CS","2023","16-19","The National Archives","5","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Attorney General's Departments","200","[c]","28250","26090"
"Leaver CS","2023","20-29","Cabinet Office","370","[c]","33150","30130"
"Leaver CS","2023","20-29","Chancellor's other departments","20","[c]","35480","34430"
"Leaver CS","2023","20-29","Charity Commission","10","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Competition and Markets Authority","30","[c]","33100","27960"
"Leaver CS","2023","20-29","Department for Business, Energy and Industrial Strategy","345","[c]","32930","33430"
"Leaver CS","2023","20-29","Department for Digital, Culture, Media and Sport","100","[c]","38190","35620"
"Leaver CS","2023","20-29","Department for Education","165","[c]","32110","30330"
"Leaver CS","2023","20-29","Department for Environment, Food and Rural Affairs","275","[c]","25180","24370"
"Leaver CS","2023","20-29","Department for International Trade","115","[c]","32510","31350"
"Leaver CS","2023","20-29","Department for Levelling Up, Housing and Communities","145","[c]","31310","30190"
"Leaver CS","2023","20-29","Department for Transport","370","[c]","26680","22500"
"Leaver CS","2023","20-29","Department for Work and Pensions","1585","[c]","26620","27570"
"Leaver CS","2023","20-29","Department of Health and Social Care","760","[c]","30690","28590"
"Leaver CS","2023","20-29","Estyn","5","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Food Standards Agency","20","[c]","29030","30650"
"Leaver CS","2023","20-29","Foreign, Commonwealth and Development Office","90","[c]","28270","27360"
"Leaver CS","2023","20-29","HM Land Registry","105","[c]","28790","27130"
"Leaver CS","2023","20-29","HM Revenue and Customs","1025","[c]","29800","26030"
"Leaver CS","2023","20-29","HM Treasury","165","[c]","34330","32320"
"Leaver CS","2023","20-29","Home Office","660","[c]","28680","25880"
"Leaver CS","2023","20-29","Ministry of Defence","995","[c]","28470","27500"
"Leaver CS","2023","20-29","Ministry of Justice","3015","[c]","25260","21780"
"Leaver CS","2023","20-29","National Crime Agency","80","[c]","34290","34670"
"Leaver CS","2023","20-29","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Office for Standards in Education, Children's Services and Skills","35","[c]","25830","24090"
"Leaver CS","2023","20-29","Office of Gas and Electricity Markets","80","[c]","31810","29000"
"Leaver CS","2023","20-29","Office of Qualifications and Examinations Regulation","5","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Office of Rail and Road","10","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Office of the Secretary of State for Scotland","5","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Office of the Secretary of State for Wales","5","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Scottish Government","365","[c]","27410","25050"
"Leaver CS","2023","20-29","The National Archives","25","[c]","25410","24000"
"Leaver CS","2023","20-29","UK Export Finance","25","[c]","36400","34090"
"Leaver CS","2023","20-29","UK Statistics Authority","195","[c]","25740","21200"
"Leaver CS","2023","20-29","UK Supreme Court","10","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Water Services Regulation Authority","5","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Welsh Government","30","[c]","24770","23800"
"Leaver CS","2023","30-39","Attorney General's Departments","175","[c]","45850","51250"
"Leaver CS","2023","30-39","Cabinet Office","300","[c]","50040","54700"
"Leaver CS","2023","30-39","Chancellor's other departments","20","[c]","47720","44000"
"Leaver CS","2023","30-39","Charity Commission","15","[c]","36160","30170"
"Leaver CS","2023","30-39","Competition and Markets Authority","55","[c]","53620","54240"
"Leaver CS","2023","30-39","Department for Business, Energy and Industrial Strategy","315","[c]","43360","40530"
"Leaver CS","2023","30-39","Department for Digital, Culture, Media and Sport","85","[c]","48690","52760"
"Leaver CS","2023","30-39","Department for Education","145","[c]","44770","41590"
"Leaver CS","2023","30-39","Department for Environment, Food and Rural Affairs","215","[c]","28850","25920"
"Leaver CS","2023","30-39","Department for International Trade","75","[c]","47750","51710"
