"Status","Year","Function_of_post","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","Digital, Data and Technology","180","175","46040","43650"
"In post","2023","Analysis","Economics","1805","1770","48540","44170"
"In post","2023","Analysis","Finance","35","35","42880","39520"
"In post","2023","Analysis","Human Resources","10","10","57460","55750"
"In post","2023","Analysis","Intelligence Analysis","125","125","42070","39890"
"In post","2023","Analysis","International Trade","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","60","55","43460","38470"
"In post","2023","Analysis","Legal","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Operational Delivery","765","725","34830","31830"
"In post","2023","Analysis","Operational Research","795","765","45790","43650"
"In post","2023","Analysis","Other","590","565","51220","42370"
"In post","2023","Analysis","Planning","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Policy","255","245","48610","43760"
"In post","2023","Analysis","Project Delivery","20","20","41080","38470"
"In post","2023","Analysis","Science and Engineering","1340","1290","41990","39890"
"In post","2023","Analysis","Social Research","1430","1370","44830","41440"
"In post","2023","Analysis","Statistics","2725","2630","44960","41510"
"In post","2023","Analysis","Tax","10","10","44220","45050"
"In post","2023","Analysis","Unknown","170","170","47760","43650"
"In post","2023","Commercial","Commercial","6265","6085","48020","42500"
"In post","2023","Commercial","Communications","5","5","[c]","[c]"
"In post","2023","Commercial","Digital, Data and Technology","20","20","48150","48950"
"In post","2023","Commercial","Economics","5","5","[c]","[c]"
"In post","2023","Commercial","Finance","25","20","44900","41410"
"In post","2023","Commercial","Human Resources","50","50","50310","53860"
"In post","2023","Commercial","International Trade","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Medicine","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Operational Delivery","365","360","46900","42510"
"In post","2023","Commercial","Other","175","165","40870","38300"
"In post","2023","Commercial","Policy","60","55","50500","51580"
"In post","2023","Commercial","Project Delivery","80","75","39890","34970"
"In post","2023","Commercial","Property","5","5","[c]","[c]"
"In post","2023","Commercial","Science and Engineering","20","20","33040","30320"
"In post","2023","Commercial","Security","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Statistics","5","5","[c]","[c]"
"In post","2023","Commercial","Tax","10","10","37960","38430"
"In post","2023","Commercial","Unknown","170","165","55110","55100"
"In post","2023","Commercial","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Communications","3650","3525","43860","40880"
"In post","2023","Communications","Digital, Data and Technology","25","25","46900","41870"
"In post","2023","Communications","Finance","15","10","34670","34170"
"In post","2023","Communications","Human Resources","20","20","40450","38470"
"In post","2023","Communications","Knowledge and Information Management","90","90","42480","39730"
"In post","2023","Communications","Operational Delivery","100","90","45320","37370"
"In post","2023","Communications","Other","40","40","41450","37910"
"In post","2023","Communications","Planning","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Policy","20","20","62640","64400"
"In post","2023","Communications","Project Delivery","15","15","40500","39380"
"In post","2023","Communications","Psychology","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Unknown","175","170","51820","43780"
"In post","2023","Counter Fraud","Commercial","15","15","51970","53530"
"In post","2023","Counter Fraud","Communications","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","Counter Fraud","9335","8605","31730","28120"
"In post","2023","Counter Fraud","Digital, Data and Technology","30","25","49650","51290"
"In post","2023","Counter Fraud","Economics","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","Finance","15","15","47900","42570"
"In post","2023","Counter Fraud","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","Intelligence Analysis","230","225","40810","39450"
"In post","2023","Counter Fraud","International Trade","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","Knowledge and Information Management","35","35","46700","42510"
"In post","2023","Counter Fraud","Legal","1980","1885","35140","34400"
"In post","2023","Counter Fraud","Operational Delivery","3205","2965","33570","32520"
"In post","2023","Counter Fraud","Operational Research","10","10","[c]","[c]"
"In post","2023","Counter Fraud","Other","280","255","45040","42140"
"In post","2023","Counter Fraud","Policy","15","10","45070","38050"
"In post","2023","Counter Fraud","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","Security","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","Tax","1715","1610","42680","36990"
"In post","2023","Counter Fraud","Unknown","270","265","36880","34550"
"In post","2023","Debt","Operational Delivery","4415","4025","25610","22520"
"In post","2023","Debt","Operational Research","[c]","[c]","[c]","[c]"
"In post","2023","Debt","Other","2615","2260","23260","21690"
"In post","2023","Debt","Policy","10","10","42010","38470"
"In post","2023","Debt","Tax","650","620","23960","22520"
"In post","2023","Debt","Unknown","65","60","27290","27650"
"In post","2023","Digital, Data & Technology","Commercial","25","25","48280","45810"
"In post","2023","Digital, Data & Technology","Communications","15","15","40830","38220"
"In post","2023","Digital, Data & Technology","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2023","Digital, Data & Technology","Digital, Data and Technology","21570","21020","44110","41000"
"In post","2023","Digital, Data & Technology","Economics","10","5","[c]","[c]"
"In post","2023","Digital, Data & Technology","Finance","110","100","38870","36880"
"In post","2023","Digital, Data & Technology","Geography","[c]","[c]","[c]","[c]"
"In post","2023","Digital, Data & Technology","Human Resources","75","75","44190","39190"
"In post","2023","Digital, Data & Technology","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2023","Digital, Data & Technology","International Trade","[c]","[c]","[c]","[c]"
"In post","2023","Digital, Data & Technology","Knowledge and Information Management","1050","1020","33400","30210"
"In post","2023","Digital, Data & Technology","Operational Delivery","1070","1025","38310","37420"
"In post","2023","Digital, Data & Technology","Operational Research","25","25","53460","57420"
"In post","2023","Digital, Data & Technology","Other","290","280","36260","36180"
"In post","2023","Digital, Data & Technology","Policy","75","75","54090","56430"
"In post","2023","Digital, Data & Technology","Project Delivery","280","270","41350","38940"
"In post","2023","Digital, Data & Technology","Property","[c]","[c]","[c]","[c]"
"In post","2023","Digital, Data & Technology","Science and Engineering","560","525","41370","39750"
"In post","2023","Digital, Data & Technology","Security","50","50","47380","50160"
"In post","2023","Digital, Data & Technology","Social Research","[c]","[c]","[c]","[c]"
"In post","2023","Digital, Data & Technology","Statistics","25","25","43880","43370"
"In post","2023","Digital, Data & Technology","Tax","100","100","40780","35000"
"In post","2023","Digital, Data & Technology","Unknown","1015","1000","48340","43000"
"In post","2023","Finance","Commercial","750","705","38610","38470"
"In post","2023","Finance","Communications","[c]","[c]","[c]","[c]"
"In post","2023","Finance","Corporate Finance","85","80","51650","44000"
"In post","2023","Finance","Counter Fraud","30","30","44330","38580"
"In post","2023","Finance","Digital, Data and Technology","20","20","46990","43420"
"In post","2023","Finance","Economics","5","5","[c]","[c]"
"In post","2023","Finance","Finance","9300","8920","42910","39110"
"In post","2023","Finance","Human Resources","10","10","39570","41800"
"In post","2023","Finance","Legal","[c]","[c]","[c]","[c]"
"In post","2023","Finance","Medicine","5","5","[c]","[c]"
"In post","2023","Finance","Operational Delivery","1640","1435","28820","22520"
"In post","2023","Finance","Operational Research","[c]","[c]","[c]","[c]"
"In post","2023","Finance","Other","30","30","44570","41550"
"In post","2023","Finance","Planning","[c]","[c]","[c]","[c]"
"In post","2023","Finance","Policy","30","30","48440","51290"
"In post","2023","Finance","Project Delivery","40","35","51640","51640"
"In post","2023","Finance","Property","[c]","[c]","[c]","[c]"
"In post","2023","Finance","Security","365","350","43540","38470"
"In post","2023","Finance","Social Research","[c]","[c]","[c]","[c]"
"In post","2023","Finance","Statistics","10","10","[c]","[c]"
"In post","2023","Finance","Tax","130","125","36620","34700"
"In post","2023","Finance","Unknown","400","395","46350","41950"
"In post","2023","Grants Management","Communications","[c]","[c]","[c]","[c]"
"In post","2023","Grants Management","Finance","5","5","[c]","[c]"
"In post","2023","Grants Management","Operational Delivery","2550","2350","25940","22150"
"In post","2023","Grants Management","Policy","50","50","51120","52310"
"In post","2023","Grants Management","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Grants Management","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2023","Human Resources","Commercial","10","10","[c]","[c]"
"In post","2023","Human Resources","Communications","15","15","41540","39140"
"In post","2023","Human Resources","Digital, Data and Technology","40","40","41010","37580"
"In post","2023","Human Resources","Economics","[c]","[c]","[c]","[c]"
"In post","2023","Human Resources","Finance","15","15","40540","35650"
"In post","2023","Human Resources","Human Resources","12190","11690","39910","35350"
"In post","2023","Human Resources","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2023","Human Resources","International Trade","[c]","[c]","[c]","[c]"
"In post","2023","Human Resources","Knowledge and Information Management","30","30","38900","34360"
"In post","2023","Human Resources","Legal","[c]","[c]","[c]","[c]"
"In post","2023","Human Resources","Operational Delivery","1325","1240","33220","28120"
"In post","2023","Human Resources","Other","55","55","36480","36800"
"In post","2023","Human Resources","Planning","[c]","[c]","[c]","[c]"
"In post","2023","Human Resources","Policy","45","45","47410","43000"
"In post","2023","Human Resources","Project Delivery","60","60","48770","51330"
"In post","2023","Human Resources","Property","5","5","[c]","[c]"
"In post","2023","Human Resources","Psychology","[c]","[c]","[c]","[c]"
"In post","2023","Human Resources","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2023","Human Resources","Security","[c]","[c]","[c]","[c]"
"In post","2023","Human Resources","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","Human Resources","Tax","210","195","37930","35000"
"In post","2023","Human Resources","Unknown","405","385","44890","39110"
"In post","2023","Internal Audit","Internal Audit","730","695","48050","45190"
"In post","2023","Internal Audit","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Internal Audit","Policy","[c]","[c]","[c]","[c]"
"In post","2023","Legal","Communications","10","10","33690","30560"
"In post","2023","Legal","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2023","Legal","Digital, Data and Technology","5","5","[c]","[c]"
"In post","2023","Legal","Finance","80","75","25090","24480"
"In post","2023","Legal","Human Resources","5","5","[c]","[c]"
"In post","2023","Legal","Internal Audit","5","5","[c]","[c]"
"In post","2023","Legal","Knowledge and Information Management","165","140","43390","34970"
"In post","2023","Legal","Legal","8195","7670","57650","56450"
"In post","2023","Legal","Operational Delivery","4060","3790","28740","27150"
"In post","2023","Legal","Other","80","75","55630","54460"
"In post","2023","Legal","Policy","135","135","53270","52880"
"In post","2023","Legal","Project Delivery","35","35","40390","32660"
"In post","2023","Legal","Property","20","20","32720","32830"
"In post","2023","Legal","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2023","Legal","Security","15","15","32410","32660"
"In post","2023","Legal","Tax","340","320","44560","42140"
"In post","2023","Legal","Unknown","215","210","50660","43660"
"In post","2023","No function","Commercial","500","485","49700","48210"
"In post","2023","No function","Communications","200","195","46220","43650"
"In post","2023","No function","Corporate Finance","20","20","59220","55600"
"In post","2023","No function","Counter Fraud","225","205","29260","26180"
"In post","2023","No function","Digital, Data and Technology","865","850","53190","55740"
"In post","2023","No function","Economics","280","275","53130","54440"
"In post","2023","No function","Finance","170","165","41630","38170"
"In post","2023","No function","Geography","475","450","33020","34370"
"In post","2023","No function","Human Resources","300","285","41090","36310"
"In post","2023","No function","Inspector of Education and Training","990","975","66850","66170"
"In post","2023","No function","Intelligence Analysis","2710","2590","33490","30360"
"In post","2023","No function","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2023","No function","International Trade","2145","2110","48890","43540"
"In post","2023","No function","Knowledge and Information Management","825","785","35990","34170"
"In post","2023","No function","Legal","1180","1070","46410","45160"
"In post","2023","No function","Medicine","2175","1910","58190","43810"
"In post","2023","No function","Operational Delivery","248100","227640","29800","28120"
"In post","2023","No function","Operational Research","165","160","33990","22520"
"In post","2023","No function","Other","8690","8245","32440","28120"
"In post","2023","No function","Planning","150","145","45270","40990"
"In post","2023","No function","Planning Inspectors","470","420","58330","60050"
"In post","2023","No function","Policy","27585","26935","49330","47300"
"In post","2023","No function","Project Delivery","1850","1810","47010","43210"
"In post","2023","No function","Property","10","10","40140","32160"
"In post","2023","No function","Psychology","1555","1490","37750","32420"
"In post","2023","No function","Science and Engineering","7880","7615","40810","39300"
"In post","2023","No function","Security","145","145","49900","41870"
"In post","2023","No function","Social Research","45","45","49010","44330"
"In post","2023","No function","Statistics","70","65","42010","41550"
"In post","2023","No function","Tax","13545","12845","37870","35000"
"In post","2023","No function","Unknown","6975","6775","44950","39450"
"In post","2023","No function","Veterinarian","385","365","44240","39140"
"In post","2023","Project Delivery","Commercial","20","20","108610","113200"
"In post","2023","Project Delivery","Communications","45","40","39260","36500"
"In post","2023","Project Delivery","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","Digital, Data and Technology","70","70","50260","51360"
"In post","2023","Project Delivery","Finance","40","40","77650","62540"
"In post","2023","Project Delivery","Human Resources","20","20","45910","41130"
"In post","2023","Project Delivery","Inspector of Education and Training","65","65","78210","78500"
"In post","2023","Project Delivery","International Trade","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","Knowledge and Information Management","55","50","44560","41070"
"In post","2023","Project Delivery","Legal","15","15","57630","60280"
"In post","2023","Project Delivery","Medicine","45","40","79720","82970"
"In post","2023","Project Delivery","Operational Delivery","1560","1490","39240","35000"
"In post","2023","Project Delivery","Operational Research","155","150","45220","41480"
"In post","2023","Project Delivery","Other","230","220","38540","38070"
"In post","2023","Project Delivery","Planning","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","Policy","1930","1850","55130","55780"
"In post","2023","Project Delivery","Project Delivery","15515","14960","45850","42060"
"In post","2023","Project Delivery","Property","15","15","61930","62540"
"In post","2023","Project Delivery","Science and Engineering","1515","1475","45610","42840"
"In post","2023","Project Delivery","Security","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","Social Research","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","Statistics","15","10","46380","43250"
"In post","2023","Project Delivery","Tax","675","630","37100","35000"
"In post","2023","Project Delivery","Unknown","310","305","48750","41780"
"In post","2023","Property","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","Property","Communications","10","10","47260","45520"
"In post","2023","Property","Digital, Data and Technology","35","35","53430","51020"
"In post","2023","Property","Finance","85","80","42570","39660"
"In post","2023","Property","Human Resources","35","30","42390","38340"
"In post","2023","Property","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2023","Property","Operational Delivery","1395","1325","32370","26020"
"In post","2023","Property","Other","300","290","34040","31490"
"In post","2023","Property","Policy","35","35","56110","56250"
"In post","2023","Property","Project Delivery","80","80","51220","51020"
"In post","2023","Property","Property","6825","6520","38010","34370"
"In post","2023","Property","Science and Engineering","10","10","[c]","[c]"
"In post","2023","Property","Security","15","15","60370","55670"
"In post","2023","Property","Unknown","80","75","44540","38460"
"In post","2023","Security","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","Security","Digital, Data and Technology","75","75","52230","50690"
"In post","2023","Security","Finance","10","10","47570","51290"
"In post","2023","Security","Human Resources","40","40","40360","33020"
"In post","2023","Security","Intelligence Analysis","165","160","48210","43500"
"In post","2023","Security","Knowledge and Information Management","55","55","37690","33850"
"In post","2023","Security","Legal","[c]","[c]","[c]","[c]"
"In post","2023","Security","Operational Delivery","30","30","40570","39890"
"In post","2023","Security","Other","10","10","[c]","[c]"
"In post","2023","Security","Policy","70","70","49180","52270"
"In post","2023","Security","Project Delivery","10","10","[c]","[c]"
"In post","2023","Security","Property","[c]","[c]","[c]","[c]"
"In post","2023","Security","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2023","Security","Security","8870","8660","34350","30700"
"In post","2023","Security","Unknown","695","670","32440","27110"
"In post","2023","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Communications","155","145","42320","39690"
"In post","2023","Unknown","Digital, Data and Technology","220","215","40940","39690"
"In post","2023","Unknown","Economics","55","55","50240","43660"
"In post","2023","Unknown","Finance","325","305","45410","39690"
"In post","2023","Unknown","Human Resources","245","230","33360","27890"
"In post","2023","Unknown","Inspector of Education and Training","30","30","36800","36590"
"In post","2023","Unknown","Internal Audit","25","20","44860","39690"
"In post","2023","Unknown","Knowledge and Information Management","130","125","36580","30650"
"In post","2023","Unknown","Legal","175","165","61060","63900"
"In post","2023","Unknown","Medicine","235","220","51500","49370"
"In post","2023","Unknown","Operational Delivery","1850","1745","40660","37710"
"In post","2023","Unknown","Other","2840","2795","43900","40690"
"In post","2023","Unknown","Planning","70","65","47440","40800"
"In post","2023","Unknown","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Policy","2695","2570","46390","40760"
"In post","2023","Unknown","Project Delivery","140","135","47730","43660"
"In post","2023","Unknown","Property","65","60","42870","39690"
"In post","2023","Unknown","Psychology","30","25","47210","49260"
"In post","2023","Unknown","Science and Engineering","1980","1915","40880","39890"
"In post","2023","Unknown","Security","30","30","32340","29530"
"In post","2023","Unknown","Social Research","100","95","44090","41700"
"In post","2023","Unknown","Statistics","95","90","43150","41700"
"In post","2023","Unknown","Unknown","19320","18545","41090","34730"
"In post","2023","Unknown","Veterinarian","5","5","[c]","[c]"
"Leaver CS","2023","Analysis","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Analysis","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Analysis","Digital, Data and Technology","5","[c]","[c]","[c]"
"Leaver CS","2023","Analysis","Economics","190","[c]","36100","31330"
"Leaver CS","2023","Analysis","Finance","10","[c]","[c]","[c]"
"Leaver CS","2023","Analysis","Geography","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Analysis","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Analysis","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Analysis","Intelligence Analysis","5","[c]","[c]","[c]"
"Leaver CS","2023","Analysis","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Analysis","Operational Delivery","55","[c]","33580","31060"
"Leaver CS","2023","Analysis","Operational Research","40","[c]","43370","38880"
